Name,Description,Origin,Ref,V score,P score,Converged
Prompt-First Learning,"A learning tool where the learner drives the conversation, stating goal, prior knowledge, and preferred modality, and the AI adapts through dialogue with embedded assessment. The output is a persistent, co-authored study artifact shaped by the learner's own questions, not a reformatted textbook. Artifacts are shareable so others can learn faster from them, and they feed back into the product so it learns where future students commonly trip up and which concepts break down.",V,Vincent List #1,,,"=IF(AND(E2>=4,F2>=4),""yes"","""")"
AI Orchestration Skill Assessment & Credentialing,"Assessments and portable credentials for a skill that does not yet have one: coordinating teams of AI agents on real business tasks. Tests include intentionally flawed agents to probe critical thinking and judgment, with credentials issued on-chain for portability. The strategy is to start at assessment and credentialing, where enterprise willingness-to-pay is strongest, then work backward into learning.",V,Vincent List #2,,,"=IF(AND(E3>=4,F3>=4),""yes"","""")"
AI-Powered Personal Knowledge Management,"A personal knowledge system built in three layers. First, AI agents that ingest, clean, and link notes with git-like versioning, embracing flat markdown as the substrate. Second, a knowledge graph backend layered on top, storing entities and relationships that flat files don't capture. Third, a prompting layer that draws on this base for any task. Later phases add spaced-repetition surfacing and fine-tuning so the assistant knows your data in its weights, not just in context.",V,Vincent List #3,,,"=IF(AND(E4>=4,F4>=4),""yes"","""")"
Conduit — Ambient Signal-to-Action Router,"Signal in, action out. An ambient layer that captures unstructured input through the day (voice, bookmarks, highlights, screenshots), and an agent classifies each and fans it out to the right app: Obsidian, Anki, Todoist, a background research agent, email, calendar. The bet is that voice becomes the dominant input modality, and productivity apps flip from being input surfaces to being view and edit surfaces.",V,Vincent List #4,,,"=IF(AND(E5>=4,F5>=4),""yes"","""")"
"Rubric — Self-Improvement Loops for Production Agents, Powered by Expert Judgment","Customers plug their deployed agent, or system of agents, into Rubric and its success rate rises, measurably, week over week. Rubric analyzes how each agent is set up (tools, settings, prompts) and helps the customer optimize that stack inside their existing harness. Starts as a small consultancy of experts in corporate agent workflows, with tooling added over time to automate the playbook. The pitch: not affiliated with any big lab, so advice stays genuinely agnostic across model providers and harnesses.",V,Vincent List #5,,,"=IF(AND(E6>=4,F6>=4),""yes"","""")"
Agent Memory System,"Compressed memory parcels for long-running agents. Past context is condensed into structured entries (""I did X to achieve Y using Z""), with full fidelity stored in a backing database for retrieval. Parcels rotate in and out of the active window to simulate human-style dot-connecting, solving the context-window bottleneck without relying on ever-larger windows.",V,Vincent List #6,,,"=IF(AND(E7>=4,F7>=4),""yes"","""")"
Agent Reputation Oracle,"Behavioral scoring for autonomous agents, published on-chain. Ingest settlement traces from A2A, x402, AP2, and Tempo; score agents on reliability, success rate, and counterparty outcomes; publish signed scores to ERC-8004's Reputation Registry. The registry is deliberately thin (scoring lives off-chain), so a credible oracle becomes the default underwriting input for merchants and protocols.",V,Vincent List #7,,,"=IF(AND(E8>=4,F8>=4),""yes"","""")"
ZK Compliance Attestations for Agents,"An SDK plus trusted-issuer network producing cryptographically verifiable claims about an agent or its operator, written to ERC-8004's Validation Registry. Rather than scoring behavior, it stamps specific facts as true: ""operator is a Delaware LLC with $X insurance,"" ""agent passed eval suite Y,"" ""training data excluded PII."" ZK proofs enable selective disclosure, so an agent can prove one attribute without revealing the underlying data. Sold to operators needing machine-readable compliance for AP2, Visa TAP, or EU AI Act obligations.",V,Vincent List #8,,,"=IF(AND(E9>=4,F9>=4),""yes"","""")"
Coding Agent Credit Score,"A scored rating for coding-agent products and versions (Devin v2.3, Claude-4.5 via Cursor), aggregated from public PRs, CI signals, and opt-in vendor telemetry. Ground truth is machine-readable: merge rate, revert rate, CVEs introduced, test pass rate. The moat is verifiability. Raw traces are committed on-chain with ZK selective disclosure, so contributors stay private while consumers can audit that scores reflect the underlying data. Sells to enterprise procurement first; the longer bet is that this verifiable-scoring primitive extends into other product-comparison categories as ratings markets move toward provable methodology.",V,Vincent List #9,,,"=IF(AND(E10>=4,F10>=4),""yes"","""")"
Crypto Project Analyzer,"A research platform that answers arbitrary questions about any crypto project: tokenomics, unlocks, treasury health, governance, revenue, cross-chain positions. It combines on-chain state with off-chain sources (forums, audits, filings). The thesis is that blockchain transparency enables fundamental analysis in ways impossible for traditional equities, yet no incumbent has unified one view per protocol. Open wedges: retail surface, pro copilot for funds and DAO treasuries, or an agent-facing API.",V,Vincent List #10,,,"=IF(AND(E11>=4,F11>=4),""yes"","""")"
